"iteration","cell_type","subcluster","module","module_size","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"T3","Astrocytes","8","brown",559,TRUE,1.61567114260826e-08,155,385,26,0.0675324675324675,0.167741935483871,"REAC:R-HSA-199977","REAC","ER to Golgi Anterograde Transport",10842,796,"REAC:R-HSA-199991, REAC:R-HSA-948021"
"T3","Astrocytes","8","brown",559,TRUE,1.73616327049307e-08,1802,521,104,0.199616122840691,0.0577136514983352,"GO:0019899","GO:MF","enzyme binding",17314,3728,"GO:0005515"
"T3","Astrocytes","8","brown",559,TRUE,1.83977894629949e-08,1272,495,84,0.16969696969697,0.0660377358490566,"GO:0071705","GO:BP","nitrogen compound transport",16178,17375,"GO:0006810"
"T3","Astrocytes","8","brown",559,TRUE,2.06135304455618e-08,653,511,53,0.103718199608611,0.0811638591117917,"GO:0000323","GO:CC","lytic vacuole",16860,53,"GO:0005773"
"T3","Astrocytes","8","brown",559,TRUE,2.06135304455618e-08,653,511,53,0.103718199608611,0.0811638591117917,"GO:0005764","GO:CC","lysosome",16860,332,"GO:0000323"
"T3","Astrocytes","8","brown",559,TRUE,2.85028852284263e-08,48,511,14,0.0273972602739726,0.291666666666667,"GO:0016469","GO:CC","proton-transporting two-sector ATPase complex",16860,743,"GO:0098796, GO:1904949"
"T3","Astrocytes","8","brown",559,TRUE,3.21702968884978e-08,11912,511,423,0.827788649706458,0.0355104096709201,"GO:0043229","GO:CC","intracellular organelle",16860,1881,"GO:0005622, GO:0043226"
"T3","Astrocytes","8","brown",559,TRUE,9.13806955495459e-08,134,293,22,0.0750853242320819,0.164179104477612,"KEGG:00190","KEGG","Oxidative phosphorylation",8484,18,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,9.6603472811738e-08,1658,511,96,0.187866927592955,0.0579010856453559,"GO:1902494","GO:CC","catalytic complex",16860,3635,"GO:0032991"
"T3","Astrocytes","8","brown",559,TRUE,1.34908895393836e-07,1693,511,97,0.189823874755382,0.0572947430596574,"GO:0098588","GO:CC","bounding membrane of organelle",16860,3216,"GO:0031090"
"T3","Astrocytes","8","brown",559,TRUE,1.76880170649115e-07,3205,511,154,0.301369863013699,0.0480499219968799,"GO:0005615","GO:CC","extracellular space",16860,232,"GO:0005576, GO:0110165"
"T3","Astrocytes","8","brown",559,TRUE,2.02665624993816e-07,186,385,27,0.0701298701298701,0.145161290322581,"REAC:R-HSA-948021","REAC","Transport to the Golgi and subsequent modification",10842,2527,"REAC:R-HSA-446203"
"T3","Astrocytes","8","brown",559,TRUE,2.35282276187045e-07,2145,495,117,0.236363636363636,0.0545454545454545,"GO:0009056","GO:BP","catabolic process",16178,3269,"GO:0008152"
"T3","Astrocytes","8","brown",559,TRUE,2.39365961717376e-07,1946,385,118,0.306493506493506,0.0606372045220966,"REAC:R-HSA-392499","REAC","Metabolism of proteins",10842,1390,"REAC:0000000"
"T3","Astrocytes","8","brown",559,TRUE,2.84499148972777e-07,894,511,62,0.12133072407045,0.0693512304250559,"GO:0099503","GO:CC","secretory vesicle",16860,3364,"GO:0031410"
"T3","Astrocytes","8","brown",559,TRUE,3.48225333845186e-07,271,293,31,0.10580204778157,0.114391143911439,"KEGG:05020","KEGG","Prion disease",8484,416,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,3.75346832566102e-07,305,385,35,0.0909090909090909,0.114754098360656,"REAC:R-HSA-446203","REAC","Asparagine N-linked glycosylation",10842,164,"REAC:R-HSA-597592"
"T3","Astrocytes","8","brown",559,TRUE,3.99621984622535e-07,772,511,56,0.10958904109589,0.0725388601036269,"GO:0030141","GO:CC","secretory granule",16860,916,"GO:0012505, GO:0099503"
"T3","Astrocytes","8","brown",559,TRUE,7.13310905516053e-07,78,293,16,0.0546075085324232,0.205128205128205,"KEGG:04721","KEGG","Synaptic vesicle cycle",8484,351,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,7.87816514210896e-07,185,495,25,0.0505050505050505,0.135135135135135,"GO:0030705","GO:BP","cytoskeleton-dependent intracellular transport",16178,7123,"GO:0046907"
"T3","Astrocytes","8","brown",559,TRUE,8.24615994137993e-07,144,495,22,0.0444444444444444,0.152777777777778,"GO:0016241","GO:BP","regulation of macroautophagy",16178,5244,"GO:0010506, GO:0016236"
"T3","Astrocytes","8","brown",559,TRUE,9.39156808883064e-07,1506,521,87,0.166986564299424,0.0577689243027888,"GO:0003723","GO:MF","RNA binding",17314,346,"GO:0003676"
"T3","Astrocytes","8","brown",559,TRUE,1.02482877884384e-06,193,293,25,0.0853242320819113,0.129533678756477,"KEGG:04814","KEGG","Motor proteins",8484,366,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,1.07125269486062e-06,10872,511,390,0.76320939334638,0.0358719646799117,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16860,1883,"GO:0043227, GO:0043229"
"T3","Astrocytes","8","brown",559,TRUE,1.1817141085661e-06,103,293,18,0.0614334470989761,0.174757281553398,"KEGG:04137","KEGG","Mitophagy - animal",8484,274,"KEGG:00000"
"T3","Astrocytes","8","brown",559,TRUE,1.59691408518506e-06,72,385,16,0.0415584415584416,0.222222222222222,"REAC:R-HSA-1445148","REAC","Translocation of SLC2A4 (GLUT4) to the plasma membrane",10842,2501,"REAC:R-HSA-199991"
"T3","Astrocytes","8","brown",559,TRUE,2.00405062491051e-06,321,495,33,0.0666666666666667,0.102803738317757,"GO:0010506","GO:BP","regulation of autophagy",16178,4228,"GO:0006914, GO:0031329"
"T3","Astrocytes","8","brown",559,TRUE,2.21558668078448e-06,1258,495,78,0.157575757575758,0.0620031796502385,"GO:0016192","GO:BP","vesicle-mediated transport",16178,5229,"GO:0006810, GO:0009987"
"T3","Astrocytes","8","brown",559,TRUE,2.45484355494988e-06,293,521,30,0.0575815738963532,0.102389078498294,"GO:0044389","GO:MF","ubiquitin-like protein ligase binding",17314,5996,"GO:0019899"
"T3","Astrocytes","8","brown",559,TRUE,2.4641496414991e-06,276,521,29,0.0556621880998081,0.105072463768116,"GO:0031625","GO:MF","ubiquitin protein ligase binding",17314,4144,"GO:0044389"
"T3","Astrocytes","8","brown",559,TRUE,3.06681284467159e-06,249,293,28,0.0955631399317406,0.112449799196787,"KEGG:05132","KEGG","Salmonella infection",8484,429,"KEGG:00000"
